primary_name,ra,dec,vmag
20155,3.2233458,-28.974701,7.89
20165,3.246452,8.9807919,7.83
201651,21.115664,69.674597,8.19
201891,21.199753,17.729944,7.37
201924,21.186349,45.455915,7.83
201989,21.233834,-29.663524,7.4
202108,21.21601,30.809514,7.328
202206,21.249386,-20.788917,8.08
2025,0.40720397,-27.026772,7.93
202560,21.288253,-38.864583,6.69
202568,21.257553,42.026054,6.6
202573,21.265894,25.433917,6.99
202575,21.275685,9.3938256,7.91
20267,3.2569444,-2.1752778,nan
202696,21.281644,27.258028,8.23
202751,21.300826,0.16157944,8.23
202772A,21.313306,-26.616111,nan
202772B,21.313306,-26.616111,nan
2028,0.40424167,-48.58875,10.35
202867,21.312589,-2.1368333,8.11
202917,21.34721,-53.034207,8.67
20301,3.2444703,-35.557665,6.88
203040,21.337203,-19.850528,9.09
203471,21.359561,28.564861,8.34
203473,21.371909,5.0235975,8.23
20367,3.2944778,31.127194,6.4
203802,21.372339,57.565167,8.1
204277,21.451837,16.124153,6.728
20439,3.2924167,7.6900001,7.766
204587,21.500765,-12.51007,9.1
204814,21.496338,45.89449,7.93
204961,21.55945,-49.007028,8.66
205163,21.56095,-6.3737778,8.21
205331,21.552811,48.303444,6.83
205351,21.565092,32.869189,8.41
205353,21.573159,13.919856,8.18
205356,21.574928,9.4996892,7.91
205739,21.635664,-31.737278,8.56
205855,21.635673,-2.3031522,8.62
205905,21.65282,-27.306572,6.74
206116,21.669957,-9.7947103,7.61
20618,3.3321694,27.071306,5.91
20619,3.3171926,-2.8431947,7.1
20630,3.3226933,3.3701978,4.84
206332,21.6786,28.755583,7.41
206374,21.685055,26.750666,7.46
206387,21.695475,6.4208325,8.35
206610,21.723583,-7.40825,8.34
206635,21.723681,1.8009722,8.34
206658,21.721782,12.518352,7.85
20670,3.3657757,52.62191,7.69
20675,3.3645925,49.070905,5.947
20678,3.3498477,33.218327,7.94
206860,21.742,14.778944,6.0
206993,21.762808,7.9875556,7.23
207077,21.7789,-8.0070833,8.24
20727,3.3435639,9.0336944,8.46
207485,21.764622,70.348062,8.0
207491,21.820056,5.7228611,nan
207583,21.839751,-16.196528,8.28
207740,21.843403,28.767222,7.97
207804,21.847714,32.671444,8.31
20781,3.3341508,-28.783834,8.48
20782,3.3342639,-28.853917,7.36
207832,21.876745,-26.026559,8.78
207839,21.843638,49.437786,7.81
207874,21.868482,1.9064272,8.2
207897,21.679105,84.333485,8.37
207966,21.864742,42.344611,7.85
207978,21.874977,28.793538,5.52
207992,21.872129,39.801727,8.24
207994,21.877331,25.055029,8.36
208038,21.88482,20.930517,8.18
208202,21.904838,19.718121,8.75
208313,21.912511,32.32857,7.78
208487,21.955492,-37.763333,7.47
2085,0.41971111,16.992056,7.89
208527,21.939994,21.239833,6.39
208585,21.948114,17.439778,7.98
208776,21.9746,3.77725,6.95
208801,21.98194,-4.3731089,6.22
208880,21.985812,3.1977656,8.45
208897,21.983233,19.020389,6.5
209203,22.000627,54.107561,7.54
209340,22.017639,55.998687,8.51
209393,22.03483,44.343166,7.95
209458,22.053,18.884444,7.65
209599,22.072183,20.265671,8.37
209622,22.075033,15.857944,7.88
209706,22.063365,55.849223,7.8
209779,22.101456,-5.3579167,7.57
209875,22.109215,1.8571344,7.25
210011,22.087191,63.578417,6.93
210027,22.116797,25.345056,3.77
210144,22.111611,53.130648,7.8
21019,3.38825,-7.7935556,6.2
21019A,3.3882502,-7.7940981,6.2
210277,22.158296,-7.5486542,6.63
210302,22.169106,-32.548407,4.92
210312,22.15434,13.670888,8.64
210320,22.169013,-27.674083,8.64
210323,22.146048,39.424717,8.43
210373,22.160956,22.24225,7.47
210391,22.166903,4.0987222,7.63
210392,22.169995,-4.9287753,8.74
210460,22.17195,19.616339,6.194
210521,22.189558,-22.208667,8.09
210651,22.197028,-5.1421056,nan
210667,22.186642,36.256325,7.27
210702,22.197592,16.040583,5.93
210752,22.212058,-6.4689722,7.44
211038,22.24395,-15.818532,6.54
211080,22.24633,-5.8865503,7.81
211472,22.265039,54.67289,7.52
211567,22.30257,-1.1223019,9.07
